Название;Место;Дата проведения;Дедлайн;Область науки;Почта;Ссылка
4th International Conference on Big Data Technologies (ICBDT 2021);Китай;24.09.21 — 26.09.21;20.07.2021;Компьютерные;icbdt@young.ac.cn;none
2021 International Conference on Computer Systems (ICCS 2021);Китай;24.09.21 — 26.09.21;20.07.2021;Компьютерные;iccs_conf@163.com;none
2021 International Conference on Control, Robotics Engineering and Technology (CRET 2021);Франция;07.09.21 — 09.09.21;20.07.2021;Компьютерные;cret_secretary@outlook.com;none
2021 International Conference on Computers and Automation (ICCA 2021);Франция;07.09.21 — 09.09.21;20.07.2021;Компьютерные;icca_conf@outlook.com;none
4th International Conference on Power and Energy Applications (ICPEA 2021);Корея;09.10.21 — 11.10.21;20.07.2021;Технические;icpea_secretary@outlook.com;none
4th International Conference on Smart Grid and Energy (ICSGE 2021);Корея;09.10.21 — 11.10.21;20.07.2021;Технические;icsge2018@vip.163.com;none
4th International Conference on Advanced Mechanical and Electrical Engineering (AMEE 2021);Китай;04.11.21 — 06.11.21;20.07.2021;Технические;amee_conf@yeah.net;http://www.amee.net/
4th International Conference on Robotics, Control and Automation Engineering (RCAE 2021);Китай;04.11.21 — 06.11.21;20.07.2021;Компьютерные;rcaesub@academic.net;none
4th International Conference on Digital Medicine and Image Processing (DMIP 2021);Япония;12.11.21 — 15.11.21;20.07.2021;Компьютерные;dmip@cbees.net;http://www.dmip.org/
8th International Conference on Biomedical and Bioinformatics Engineering (ICBBE 2021);Япония;12.11.21 — 15.11.21;20.07.2021;Биологические;icbbe@cbees.net;none
2021 Asia Environment and Resource Engineering Conference (AERE 2021);Сингапур;14.10.21 — 16.10.21;20.07.2021;Науки о Земле;aere@bmail.org;none
9th International Conference on Civil Engineering (ICCEN 2021);Сингапур;14.10.21 — 16.10.21;20.07.2021;Технические;iccen@cbees.org;none
2nd European Symposium on Software Engineering (ESSE 2021);Греция;06.11.21 — 08.11.21;20.07.2021;Компьютерные;esse_info@academic.net;none
2nd Symposium on Pattern Recognition and Applications (SPRA 2021);Греция;06.11.21 — 08.11.21;20.07.2021;Компьютерные;spra_info@academic.net;none
2021 The International Conference on Big Data and Computational Intelligence (BDCI 2021);Китай;24.09.21 — 26.09.21;20.07.2021;Компьютерные;bdci@sciei.org;none
29th International Diabetes and Healthcare Conference;Великобритания;06.08.21 — 06.08.21;20.07.2021;Медицинские;diabetes@memeetings.com;none
5th International Conference on Innovative and Smart Materials (ICISM 2021);Польша;11.12.21 — 13.12.21;20.07.2021;Технические;icism@iap.org;none
4th International Conference on Education Technology Management (ICETM 2021);Япония;17.12.21 — 19.12.21;20.07.2021;Экономические;icetm@iacsit.net;none
4th International Conference on Future Learning (ICFL 2021);Япония;17.12.21 — 19.12.21;20.07.2021;Компьютерные;icfl@iacsit.net;none
2nd International Conference on Artificial Intelligence Technology (CAIT 2021);Япония;20.11.21 — 22.11.21;20.07.2021;Компьютерные;cait@academic.net;none
4th International Conference on Computational Intelligence and Intelligent Systems (CIIS 2021);Япония;20.11.21 — 22.11.21;20.07.2021;Компьютерные;ciis_info@sciei.org;none
5th International Conference on Video and Image Processing (ICVIP 2021);Китай;22.12.21 — 25.12.21;20.07.2021;Компьютерные;icvip2017@outlook.com;none
3rd International Conference on Power, Energy and Electrical Engineering (PEEE 2021);Италия;02.12.21 — 04.12.21;20.07.2021;Технические;peee.org@academic.net;none
3rd International Conference on Artificial Intelligence, Robotics and Control(AIRC 2021);Египет;08.12.21 — 10.12.21;20.07.2021;Компьютерные;airc_conf@outlook.com;none
3rd International Conference on Mechanical and Aerospace Systems (ICMAS 2021);Египет;08.12.21 — 10.12.21;20.07.2021;Технические;icmas@outlook.com;none
11th International Conference on Power and Energy Systems (ICPES 2021);Китай;18.12.21 — 20.12.21;20.07.2021;Технические;icpes@outlook.com;none
WORKSHOP ON IOT FOR ENERGY (WIOTE 2021);Китай;18.12.21 — 20.12.21;20.07.2021;Технические;wiote_conference@163.com;none
6th International Conference on Energy and Environmental Science (ICEES 2022);Малайзия;07.01.22 — 09.01.22;20.07.2021;Науки о Земле;icees@young.ac.cn;none
8th International Conference on Renewable Energy Technologies (ICRET 2022);Малайзия;07.01.22 — 09.01.22;20.07.2021;Науки о Земле;icret@young.ac.cn;none
"""АКТУАЛЬНІ ПИТАННЯ СУЧАСНОЇ НАУКИ"": VІ Міжнародна науково-практична конференція";Украина;19.07.21 — 20.07.21;20.07.2021;Экономические;mcnd-conf@ukr.net;none
"""АКТУАЛЬНІ ПИТАННЯ СУЧАСНОЇ НАУКИ"": VІ Міжнародна науково-практична конференція";Украина;19.07.21 — 20.07.21;20.07.2021;Физико-математические;mcnd-conf@ukr.net;none
Міжнародна науково-практична конференція “Економіка, облік, менеджмент та право в умовах глобалізації”;Украина;20.07.21 — 20.07.21;20.07.2021;Экономические;economics.conf@gmail.com;none
Международная научно-практическая конференция “Экономика, учет, менеджмент и право в условиях глобализации”;Украина;20.07.21 — 20.07.21;20.07.2021;Экономические;economics.conf@gmail.com;none
"""АКТУАЛЬНІ ПИТАННЯ СУЧАСНОЇ НАУКИ"": VІ Міжнародна науково-практична конференція";Украина;19.07.21 — 20.07.21;20.07.2021;Экономические;mcnd-conf@ukr.net;none
Міжнародна науково-практична конференція “Економіка, облік, менеджмент та право в умовах глобалізації”;Украина;20.07.21 — 20.07.21;20.07.2021;Экономические;economics.conf@gmail.com;none
"""АКТУАЛЬНІ ПИТАННЯ СУЧАСНОЇ НАУКИ"": VІ Міжнародна науково-практична конференція";Украина;19.07.21 — 20.07.21;20.07.2021;Юридические;mcnd-conf@ukr.net;none
Международная научно-практическая конференция “Экономика, учет, менеджмент и право в условиях глобализации”;Украина;20.07.21 — 20.07.21;20.07.2021;Экономические;economics.conf@gmail.com;none
"""АКТУАЛЬНІ ПИТАННЯ СУЧАСНОЇ НАУКИ"": VІ Міжнародна науково-практична конференція";Украина;19.07.21 — 20.07.21;20.07.2021;Психологические;mcnd-conf@ukr.net;none
Міжнародна науково-практична конференція “Економіка, облік, менеджмент та право в умовах глобалізації”;Украина;20.07.21 — 20.07.21;20.07.2021;Экономические;Центр фінансово-економічних наукових досліджень;none
"VІ Міжнародна науково-практична конференція ""АКТУАЛЬНІ ПИТАННЯ СУЧАСНОЇ НАУКИ""";Украина;19.07.21 — 20.07.21;20.07.2021;Экономические;mcnd-conf@ukr.net;none
Euro-Global Conference on Biotechnology and Bioengineering (ECBB 2021);Италия;06.09.21 — 08.09.21;21.07.2021;Биологические;biotechnology@magnusmeetings.com;none
AGRIBALKAN 2021, III. BALKAN AGRICULTURAL CONGRESS;Турция;30.08.21 — 01.09.21;21.07.2021;Сельскохозяйственные;yalcinkaya@trakya.edu.tr;none
Current Trends Issues and Challenges in Diverse Societies (CTICDS 2021);Греция;03.09.21 — 04.09.21;23.07.2021;Культурология;culturesconfechania@gmail.com;none
4th International Conference on Advanced Composite Materials (ICACM 2021);Япония;25.08.21 — 27.08.21;23.07.2021;Технические;icacm@academic.net;none
6th International Conference on Advanced Functional Materials (ICAFM 2021);Япония;25.08.21 — 27.08.21;23.07.2021;Технические;icafm@cbees.net;none
L международная научно-практическая конференция  «Современная медицина: новые подходы и актуальные исследования»;Россия;23.07.21 — 23.07.21;23.07.2021;Медицинские;medicine@internauka.org;none
