Название;Место;Дата проведения;Дедлайн;Почта;Организатор;Ссылка
XXI Международная научно-методическая конференция «Высокие интеллектуальные технологии и  инновации в национальных исследовательских университетах»;Россия, Санкт-Петербург;05  июня -07  июня ;28  апреля;umo@spbstu.ru;Санкт-Петербургский государственный политехнический университет;https://konferen.ru/preview/2041
Коллективная монография «Вопросы. Гипотезы. Ответы: наука XXI век» Выпуск № 8 (вкл. в РИНЦ);Россия, Краснодар;24  июля -24  июля ;24  июля;info@apriori-nauka.ru;Научно-издательский центр АПРИОРИ, г. Краснодар;https://konferen.ru/preview/2040
VI заочная Международная научно-практическая конференция «Педагогика и психология: тренды, проблемы, актуальные задачи»;Россия, Краснодар;23  июля -23  июля ;23  июля;info@apriori-nauka.ru;Научно-издательский центр Априори, г. Краснодар;https://konferen.ru/preview/2036
VI заочная Международная научно-практическая конференция «Слово. Предложение. Текст: анализ языковой культуры»;Россия, Краснодар;22  июля -22  июля ;22  июля;info@apriori-nauka.ru;Научно-издательский центр Априори, г. Краснодар;https://konferen.ru/preview/2035
Международная научно-практическая конференция «Ареалы, миграции и другие перемещения диких животных».;Россия, Владивосток;25  ноября -27  ноября ;01  июля;yurbarius@rambler.ru;Тихоокеанский институт географии ДВО РАН,  Биолого-почвенный институт ДВО РАН;https://konferen.ru/preview/2032
Научно-практическая конференция «Экономика. Теория и практика»;Россия, Саратов;24  апреля -24  апреля ;24  апреля;Orgkomitet6@yandex.ru;ООО «Институт управления и социально-экономического развития»;https://konferen.ru/preview/2031
Научно-практическая конференция «Мир на пороге новой эры. Как это будет?»;Россия, Саратов;21  мая -21  мая ;21  мая;Orgkomitet7@yandex.ru;ООО «Институт управления и социально-экономического развития»;https://konferen.ru/preview/2030
V  Международная  конференция   «Общество в эпоху перемен:  формирование новых социально-экономических отношений»;Россия, Саратов;16  апреля -16  апреля ;16  апреля;conferent5@yandex.ru;ООО «Центр профессионального менеджмента «Академия Бизнеса»;https://konferen.ru/preview/2029
5-я Международная конференция  «Мировая наука и современное общество:  актуальные вопросы экономики, социологии и права»;Россия, Саратов;05  июня -05  июня ;05  июня;conferent7@yandex.ru;ООО «Центр профессионального менеджмента «Академия Бизнеса»;https://konferen.ru/preview/2027
Международная научно-техническая конференция «Ресурсосбережение и энергоэффективность процессов и оборудования обработки давлением в машиностроении и металлургии»;Украина, Харьков;19  ноября -21  ноября ;20  октября;omd.conf@gmail.com;"НТУ ""ХПИ"", Кафедра обработки металлов резанием";https://konferen.ru/preview/2024
V Всероссийская научно-практическая конференция «Актуальные проблемы экономической политики»;Россия, Нефтекамск;20  июня -20  июня ;20  июня;urazaev_rustam@mail.ru;Башкирский государственный университет;https://konferen.ru/preview/2023
"Открытый конкурс мультимедийных презентаций и видеороликов  на иностранных языках ""Счастливое детство""";Россия, Комсомольск-на-Амуре;02  июня -14  июня ;01  июня;okmuni@amgpgu.ru;ФГБОУ ВПО «АмГПГУ»;https://konferen.ru/preview/2016
I Международная (X Всероссийская) научно-методическая конференция (заочная) «Инновации и наукоемкие технологии в образовании и экономике»;Россия, Уфа;29  апреля -30  апреля ;20  апреля;istee-2014@mail.ru;ООО МИП «Ассоциация независимых экспертов в области качества»;https://konferen.ru/preview/2015
Интернет-конференция «Трансграничные мигранты и общество страны пребывания:   взаимное восприятие и проблемы межкультурного взаимодействия»;Россия, Барнаул;01  апреля -30  июня ;30  июня;ashpiconference@gmail.com;"Алтайская школа политических исследований,
Алтайский государственный университет";https://konferen.ru/preview/2014
Всероссийская конференция «Инновации в среднем профессиональном и высшем образовании для социализации «особенных» студентов»;Россия, Москва;19  апреля -19  апреля ;18  апреля;030819@mail.ru;Евразийский открытый институт;https://konferen.ru/preview/2013
Всероссийская научная конференция «Российская провинция XVIII–XX веков: проблемы истории и культуры» [РИНЦ];Россия, Казань;06  июня -06  июня ;31  мая;histcentre@mail.ru;"АНО ""Центр исторических и археологических исследований""";https://konferen.ru/preview/2012
