Название гранта;Ссылка;Описание;Дедлайн;Место
International Conference on Architecture Engineering and Technology (AET) Egypt 2021;https://expomap.ru/conference/international-conference-on-architecture-engineering-and-technology-aet-egypt-2021/;Международная конференция по проектированию и архитектуре;"с

            
                11
            

            по

            
                13 января";Онлайн, Веб
Landscape Ontario Congress 2021;https://expomap.ru/conference/landscape-ontario-congress-2021/;Конференция по ландшафтному дизайну;"с

            
                12
            

            по

            
                14 января";Онлайн, Веб
PCMA Convening Leaders 2021;https://expomap.ru/conference/pcma-convening-leaders-2021/;Встреча руководителей индустрии встреч;"с

            
                11
            

            по

            
                15 января";Онлайн, Веб
Vancouver Resource Investment Conference (VRIC) 2021;https://expomap.ru/conference/vancouver-resource-investment-conference-vric-2021/;Инвестиционный конгресс;"с

            
                17
            

            по

            
                18 января";Канада, Ванкувер
ASPN Annual Meeting 2021;https://expomap.ru/conference/aspn-annual-meeting-2021/;Собрание Американского общества по восстановлению периферических нервов;"с

            
                15
            

            по

            
                22 января";Онлайн, Веб
International Luxury Property and Residency Conference Davos 2021;https://expomap.ru/conference/international-luxury-property-and-residency-conference-davos-2021/;Международная выставка и конференция элитной недвижимости;"с

            
                21
            

            по

            
                25 январяНовые даты не анонсированы";Швейцария, Давос
Facilities Management (FM) Forum 2021;https://expomap.ru/conference/facilities-management-fm-forum-2021/;Форум по управлению и облслуживанию объектов недвижимости;"с

            
                25
            

            по

            
                26 января";Онлайн, Веб
Банковское самообслуживание, ритейл и НДО 2021;https://expomap.ru/conference/bankovskoe-samoobsluzhivanie-ritejl-i-ndo-2021/;Международный ПЛАС-форум;"с

            
                26
            

            по

            
                27 января";Россия, Москва
Платежный бизнес 2021;https://expomap.ru/conference/platezhnyj-biznes-2021/;Международный ПЛАС-Форум;"с

            
                26
            

            по

            
                27 января";Россия, Москва
Управление корпоративным автопарком в России 2021;https://expomap.ru/conference/upravlenie-korporativnym-avtoparkom-v-rossii-2021/;Конференция;28 января 2021;Россия, Москва
EFEA 2021;https://expomap.ru/conference/efea-2021/;Евразийский ивент форум;"с

            
                27
            

            по

            
                29 января";Россия, Санкт-Петербург
Event LIVE 2021;https://expomap.ru/conference/event-live-2021/;Форум для профессионалов ивент индустрии;29 января 2021;Россия, Санкт-Петербург
Digital Pathology & AI Congress: Asia 2021;https://expomap.ru/conference/digital-pathology-ai-congress-asia-2021/;Конференция по цифровому диагностированию патологий;"с

            
                28
            

            по

            
                29 январяНовые даты не анонсированы";Южная Корея, Сеул
Go West 2021;https://expomap.ru/conference/go-west-2021/;Международная конференция по решениям и технологиям для событийной индустрии;"с

            
                
                    31 января
                
            

            по

            
                2 февраля";Канада, Эдмонтон
