Название гранта;Ссылка;Описание;Дедлайн
Конкурс на разработку программного обеспечения для сжатия данных (Global Data Compression Competition 2021);https://guap.ru/science/grants-item?id=866;Лаборатория компьютерной графики и мультимедиа МГУ им. М.В. Ломоносова совместно с компанией Huawei объявляют о старте конкурса на разработку программного обеспечения для сжатия данных без потерь – Global Data Compression Competition (GDCC).;Прием заявок до 15.11.2021 г.
Конкурс «УМНИК-Сбер» 2021;https://guap.ru/science/grants-item?id=864;Фонд содействия инновациям (Группа ВЭБ.РФ) открывает прием заявок на конкурс «УМНИК-Сбер» в рамках программы Фонда содействия инновациям «Участник молодёжного научно-инновационного конкурса» («УМНИК»).;Прием заявок до 1.10.2021 г.
Конкурс «УМНИК-РЖД» 2021;https://guap.ru/science/grants-item?id=865;Фонд содействия инновациям (Группа ВЭБ.РФ) открывает прием заявок на конкурс «УМНИК-РЖД» в рамках программы Фонда содействия инновациям «Участник молодёжного научно-инновационного конкурса» («УМНИК»).;Прием заявок до 12.09.2021 г.
Гранты для проведения совместных исследований с организациями Китайской Народной Республики (отбор 2021 года);https://guap.ru/science/grants-item?id=857;Министерство науки и высшего образования Российской Федерации сообщает о проведении конкурсного отбора на предоставление грантов в форме субсидий из федерального бюджета для проведения научных исследований российскими научными или образовательными организациями высшего образования совместно с организациями Китайской Народной Республики.;Прием заявок до 30.07.2021 г.
Гранты на проведение исследований в области промышленных и агробиотехнологий совместно с организациями Федеративной Республики Германия (отбор 2021 года);https://guap.ru/science/grants-item?id=858;Министерство науки и высшего образования проводит конкурсный отбор на получение грантов в форме субсидий из федерального бюджета для выполнения научных исследований российскими научными и (или) образовательными организациями высшего образования совместно с организациями Федеративной Республики Германия в области промышленных и агробиотехнологий.;Прием заявок до 30.07.2021 г.
Гранты на проведение морских и полярных исследований совместно с организациями Федеративной Республики Германия (отбор 2021 года);https://guap.ru/science/grants-item?id=859;Министерство науки и высшего образования проводит конкурсный отбор на получение грантов в форме субсидий из федерального бюджета для выполнения научных морских и полярных исследований российскими научными и (или) образовательными организациями высшего образования совместно с организациями Федеративной Республики Германия.;Прием заявок до 30.07.2021 г.
Гранты на проведение научных исследований совместно с организациями Республики Корея (отбор 2021 года);https://guap.ru/science/grants-item?id=860;Министерство науки и высшего образования проводит конкурсный отбор на получение грантов в форме субсидий из федерального бюджета для проведения научных исследований российскими научными и (или) образовательными организациями высшего образования совместно с организациями Республики Корея.;Прием заявок до 30.07.2021 г.
Гранты на проведение научных исследований совместно с организациями Франции (отбор 2021 года);https://guap.ru/science/grants-item?id=861;Министерство науки и высшего образования проводит конкурсный отбор на получение грантов в форме субсидий из федерального бюджета для проведения научных исследований российскими научными и (или) образовательными организациями высшего образования совместно с организациями Франции.;Прием заявок до 2.08.2021 г.
"Гранты на проведение научных исследований совместно с организациями из стран-членов ЕС в рамках многостороннего сотрудничества в программе ""Горизонт 2020"" (отбор 2021 года)";https://guap.ru/science/grants-item?id=862;"Министерство науки и высшего образования Российской Федерации проводит конкурсный отбор на получение грантов в форме субсидий из федерального бюджета на обеспечение проведения научных исследований российскими научными и (или) образовательными организациями высшего образования совместно с организациями из стран-членов Европейского Союза в рамках многостороннего сотрудничества в программе ""Горизонт 2020"", включая инициативы ЭРА-НЕТ.";Прием заявок до 2.08.2021 г.
Гранты на проведение научных исследований совместно с организациями Италии (отбор 2021 года);https://guap.ru/science/grants-item?id=863;Министерство науки и высшего образования Российской Федерации проводит конкурсный отбор на получение грантов в форме субсидий из федерального бюджета на обеспечение проведения научных исследований российскими научными и (или) образовательными организациями высшего образования совместно с организациями Италии.;Прием заявок до 2.08.2021 г.
