Название гранта;Дедлайн;Ссылка
Стипендия им. Дона Маккарти университета Glasgow Caledonian University, Великобритания;" 1 декабря 2020
Оплата обучения в магистратуре британской школы моды.";https://st-gr.com/?p=3140
Грант на обучение от Google;" 4 декабря 2020
Google учредил грант на обучение Generation Google Scholarship. Грант был создан с целью поощрить студентов, изучающих технологии и компьютерные науки. ";https://st-gr.com/?p=432
Стипендия Rotary Yoneyama на обучение в Японии;" 15 декабря 2020
Стипендия Rotary Yoneyama предназначена иностранным студентам программ бакалавриата, магистратуры и аспирантуры, которые собираются поступать в университет Японии.";https://st-gr.com/?p=5641
Исследовательская стипендия от Adobe;" 4 декабря 2020
Adobe предлагает исследовательскую стипендию  Adobe Research Fellowship студентам аспирантуры, изучающим науки области STEM.";https://st-gr.com/?p=2781
Международная стипендия в области права, экономики и управления в Нидерландах;" 1 февраля 2021
 Стипендия оплачивает 100% стоимость обучения в магистратуре Утрехтского университета и часть стоимости проживания.";https://st-gr.com/?p=2842
Стипендии университета Linnaeus University;" 15 января 2021
Стипендии иностранным студентам любой магистерской программы университета. ";https://st-gr.com/?p=7805
Стипендия университета Monash University для иностранных студентов;" 15 января 2021
Австралийский университет Monash University предлагает талантливым иностранным студентам бакалавриата, магистратуры и аспирантуры стипендию. ";https://st-gr.com/?p=315
Стипендии университета Duke University, США;"  15 января 2021
Школа Duke Divinity School предлагает стипендии всем студентам, поступившим на обучение на одну из программ: M.Div., M.T.S., M.A.C.P., D.Min., и Th.D. ";https://st-gr.com/?p=2667
Стипендия на обучение в магистратуре GSE Barcelona в Барселоне;" 15 января 2021
Университет GSE Barcelona(Graduate School of Economics) в Барселоне предлагает стипендию студентам магистратуры. ";https://st-gr.com/?p=264
Стипендии университета S P Jain School of Global Management;" —
Университет S P Jain School of Global Management №10 среди Вузов предоставляющих обучение на программе International MBA в рейтинге Forbes. ";https://st-gr.com/?p=359
Стипендиальная программа Clarendon  в Великобритании;" январь 2021
Стипендиальная программа Clarendon университета University of Oxford — ежегодная стипендия студентам магистратуры и аспирантуры";https://st-gr.com/?p=2646
Высшее образование в Канаде;" 15 декабря 2020
Полная стипендия на обучение в бакалавриате университета University of British Columbia, Канада.";https://st-gr.com/?p=2989
Полная стипендия на обучение в магистратуре в Амстердаме;" 15 января 2021
Стипендия  на магистерской программе университета University of Amsterdam.";https://st-gr.com/?p=2746
Полная стипендия университета Peking University, Китай;" 4 декабря 2020
Пекинский университет (Peking University) предлагает полную стипендию студентам магистратуры — Yenching Postgraduate Scholarship. ";https://st-gr.com/?p=2599
Стипендия университета Stockholm University, Швеция;" 15 января 2021
Стипендия полностью оплачивает стоимость обучения в магистратуре университета Stockholm University, Швеция.";https://st-gr.com/?p=3298
Программа правительства Японии «Молодые лидеры»;" разный для разных стран
Министерство образования, культуры, спорта, науки и технологии Японии (MEXT) принимает заявки на программу «Молодые лидеры» 2019 – 2020 для госслужащих.";https://st-gr.com/?p=5633
Стипендия Think Big университета Bristol University;" 29 марта / 14 июня 2021
Бристольский университет инвестирует 500 000 фунтов стерлингов на стипендии иностранным студентам бакалавриата и аспирантуры";https://st-gr.com/?p=8071
Стипендия иностранным студентам бизнес-школы Delaware Law School;" —
Полная оплата обучения иностранным студентам магистратуры.";https://st-gr.com/?p=3210
Стипендия для иностранных студентов университета Xiamen University;" 15 апреля 2021
Университет Xiamen University предлагает 24 стипендии иностранным студентам, поступающим на одну из программ бакалавриата, магистратуры или аспирантуры университета. ";https://st-gr.com/?p=379
Грант Holland Scholarship;" 1 февраля, 1 мая 2021
Грант 5000€ иностранным студентам, желающим обучаться в Нидерландах.";https://st-gr.com/?p=3386
